"Alte URL";"Neue Ziel-URL";"Redirect-Typ";"Live-Status";"Live-Location";"Finale URL";"Begruendung";"Hinweis"
"https://www.ahad-cleaning.de/unterhaltsreinigung";"https://www.ahad-cleaning.de/leistungen/unterhaltsreinigung";"301";"301";"https://www.ahad-cleaning.de/leistungen/unterhaltsreinigung";"https://www.ahad-cleaning.de/leistungen/unterhaltsreinigung";"Legacy-Leistungs-URL auf thematisch passende kanonische Leistungsseite konsolidieren";"wie konfiguriert"
"https://www.ahad-cleaning.de/unterhaltsreinigung/";"https://www.ahad-cleaning.de/leistungen/unterhaltsreinigung";"301";"301";"https://www.ahad-cleaning.de/leistungen/unterhaltsreinigung";"https://www.ahad-cleaning.de/leistungen/unterhaltsreinigung";"Legacy-Leistungs-URL auf thematisch passende kanonische Leistungsseite konsolidieren";"wie konfiguriert"
"https://www.ahad-cleaning.de/glas-und-fassadenreinigung";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"301";"301";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"Legacy-Leistungs-URL auf thematisch passende kanonische Leistungsseite konsolidieren";"wie konfiguriert"
"https://www.ahad-cleaning.de/glas-und-fassadenreinigung/";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"301";"301";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"Legacy-Leistungs-URL auf thematisch passende kanonische Leistungsseite konsolidieren";"wie konfiguriert"
"https://www.ahad-cleaning.de/glasreinigung";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"301";"301";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"Legacy-Leistungs-URL auf thematisch passende kanonische Leistungsseite konsolidieren";"wie konfiguriert"
"https://www.ahad-cleaning.de/glasreinigung/";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"301";"301";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"Legacy-Leistungs-URL auf thematisch passende kanonische Leistungsseite konsolidieren";"wie konfiguriert"
"https://www.ahad-cleaning.de/fassadenreinigung";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"301";"301";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"Legacy-Leistungs-URL auf thematisch passende kanonische Leistungsseite konsolidieren";"wie konfiguriert"
"https://www.ahad-cleaning.de/fassadenreinigung/";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"301";"301";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"Legacy-Leistungs-URL auf thematisch passende kanonische Leistungsseite konsolidieren";"wie konfiguriert"
"https://www.ahad-cleaning.de/baureinigung";"https://www.ahad-cleaning.de/leistungen/baureinigung";"301";"301";"https://www.ahad-cleaning.de/leistungen/baureinigung";"https://www.ahad-cleaning.de/leistungen/baureinigung";"Legacy-Leistungs-URL auf thematisch passende kanonische Leistungsseite konsolidieren";"wie konfiguriert"
"https://www.ahad-cleaning.de/baureinigung/";"https://www.ahad-cleaning.de/leistungen/baureinigung";"301";"301";"https://www.ahad-cleaning.de/leistungen/baureinigung";"https://www.ahad-cleaning.de/leistungen/baureinigung";"Legacy-Leistungs-URL auf thematisch passende kanonische Leistungsseite konsolidieren";"wie konfiguriert"
