"URL";"Seitentyp";"HTTP-Status";"Finale URL";"Redirectkette";"Canonical";"Indexierungsstatus";"Title";"Meta Description";"H1";"Wortanzahl";"Interne Linkziele";"Strukturierte Daten";"Organischer Zweck";"Conversion-Ziel";"Moegliche Ziel-URL";"Hinweise"
"https://www.ahad-cleaning.de/";"Startseite";"200";"https://www.ahad-cleaning.de/";"200 https://www.ahad-cleaning.de/";"https://ahad-cleaning.de/";"indexierbar";"Gebäudereinigung & Industriereinigung Villingen-Schwenningen | AHAD Cleaning";"AHAD Cleaning ist Ihr Partner für professionelle Gebäudereinigung, Industriereinigung und Unterhaltsreinigung in Villingen-Schwenningen, Stuttgart und Süddeutschland. Kostenlose Vor-Ort-Besichtigung.";"Gebäudereinigung, die Sie nicht mehr nachsteuern müssen.";"1124";"29";"AdministrativeArea, AggregateRating, Answer, City, ContactPoint, EducationalOccupationalCredential, FAQPage, GeoCoordinates, LocalBusiness, OpeningHoursSpecification, Organization, Person, PostalAddress, Question, Rating, Review, WebSite";"Marke/Navigation/Vertrauen";"Besichtigung oder Kontakt";"";"Canonical zeigt auf redirectenden Apex-Host"
"https://www.ahad-cleaning.de/leistungen";"Leistungsuebersicht";"200";"https://www.ahad-cleaning.de/leistungen";"200 https://www.ahad-cleaning.de/leistungen";"https://ahad-cleaning.de/leistungen";"indexierbar";"Gebäudereinigung Leistungen & Services | AHAD Cleaning";"Alle Leistungen von AHAD Cleaning im Überblick: Unterhaltsreinigung, Industriereinigung, Glas- & Fassadenreinigung, Baureinigung, Medizintechnik, Sonderreinigung und Winterdienst.";"Acht Leistungen. Ein Qualitätssystem.";"352";"28";"Answer, BreadcrumbList, FAQPage, ListItem, Question";"Marke/Navigation/Vertrauen";"Besichtigung oder Kontakt";"";"Canonical zeigt auf redirectenden Apex-Host"
"https://www.ahad-cleaning.de/leistungen/unterhaltsreinigung";"Leistungsdetail";"200";"https://www.ahad-cleaning.de/leistungen/unterhaltsreinigung";"200 https://www.ahad-cleaning.de/leistungen/unterhaltsreinigung";"https://ahad-cleaning.de/leistungen/unterhaltsreinigung";"indexierbar";"Unterhaltsreinigung für Unternehmen | AHAD Cleaning";"Professionelle Unterhaltsreinigung für Büros, Verwaltungen und Gewerbe in Süddeutschland. Feste Teams, digitale Qualitätskontrolle, 24h Reaktionszeit. Jetzt Angebot anfordern.";"Unterhaltsreinigung, die niemand mehr steuern muss";"310";"30";"Answer, BreadcrumbList, FAQPage, ListItem, Organization, Question, Service";"Leistungsintention B2B";"Besichtigung anfragen";"";"Canonical zeigt auf redirectenden Apex-Host"
"https://www.ahad-cleaning.de/leistungen/industrie-produktionsreinigung";"Leistungsdetail";"200";"https://www.ahad-cleaning.de/leistungen/industrie-produktionsreinigung";"200 https://www.ahad-cleaning.de/leistungen/industrie-produktionsreinigung";"https://ahad-cleaning.de/leistungen/industrie-produktionsreinigung";"indexierbar";"Industriereinigung & Produktionsreinigung | AHAD Cleaning";"Industriereinigung im laufenden Betrieb: Maschinen- und Anlagenreinigung, Hallenreinigung, schichtbegleitende Ausführung. UVV-konform & auditfähig. Süddeutschland.";"Industriereinigung ohne Produktionsstillstand";"296";"29";"Answer, BreadcrumbList, FAQPage, ListItem, Organization, Question, Service";"Leistungsintention B2B";"Besichtigung anfragen";"";"Canonical zeigt auf redirectenden Apex-Host"
"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"Leistungsdetail";"200";"https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"200 https://www.ahad-cleaning.de/leistungen/glas-fassadenreinigung";"https://ahad-cleaning.de/leistungen/glas-fassadenreinigung";"indexierbar";"Glasreinigung & Fassadenreinigung für Gewerbe | AHAD Cleaning";"Professionelle Glas- und Fassadenreinigung für Gewerbeobjekte in Süddeutschland. Streifenfreie Sauberkeit, Osmose-Technik und Werterhalt. Jetzt anfragen!";"Glas- und Fassadenreinigung für Gewerbeobjekte";"304";"28";"Answer, BreadcrumbList, FAQPage, ListItem, Organization, Question, Service";"Leistungsintention B2B";"Besichtigung anfragen";"";"Canonical zeigt auf redirectenden Apex-Host"
"https://www.ahad-cleaning.de/leistungen/baureinigung";"Leistungsdetail";"200";"https://www.ahad-cleaning.de/leistungen/baureinigung";"200 https://www.ahad-cleaning.de/leistungen/baureinigung";"https://ahad-cleaning.de/leistungen/baureinigung";"indexierbar";"Baureinigung: Grob- & Feinreinigung termingerecht | AHAD Cleaning";"Professionelle Baureinigung in Süddeutschland: Baugrobreinigung, Baufeinreinigung und Endreinigung vor Übergabe. Termintreu, flexibel, zuverlässig.";"Baureinigung mit garantierter Termintreue";"299";"28";"Answer, BreadcrumbList, FAQPage, ListItem, Organization, Question, Service";"Leistungsintention B2B";"Besichtigung anfragen";"";"Canonical zeigt auf redirectenden Apex-Host"
"https://www.ahad-cleaning.de/leistungen/medizintechnik-reinigung";"Leistungsdetail";"200";"https://www.ahad-cleaning.de/leistungen/medizintechnik-reinigung";"200 https://www.ahad-cleaning.de/leistungen/medizintechnik-reinigung";"https://ahad-cleaning.de/leistungen/medizintechnik-reinigung";"indexierbar";"Medizintechnik-Reinigung & Reinraum | AHAD Cleaning";"Spezialisierte Reinigung für Medizintechnik, Labore und sensible Produktionsbereiche. ISO-konforme Prozesse, geschultes Personal, lückenlose Dokumentation.";"Reinigung für Medizintechnik und sensible Bereiche";"286";"29";"Answer, BreadcrumbList, FAQPage, ListItem, Organization, Question, Service";"Leistungsintention B2B";"Besichtigung anfragen";"";"Canonical zeigt auf redirectenden Apex-Host"
"https://www.ahad-cleaning.de/leistungen/sonderreinigung-stillstandsservice";"Leistungsdetail";"200";"https://www.ahad-cleaning.de/leistungen/sonderreinigung-stillstandsservice";"200 https://www.ahad-cleaning.de/leistungen/sonderreinigung-stillstandsservice";"https://ahad-cleaning.de/leistungen/sonderreinigung-stillstandsservice";"indexierbar";"Sonderreinigung & Stillstandsservice | AHAD Cleaning";"Sonderreinigungen für Gewerbe und Industrie: Grundreinigung, Teppichreinigung, Stillstandsservice. Planbar, transparent kalkuliert, professionell ausgeführt.";"Sonderreinigung für besondere Anforderungen";"295";"28";"Answer, BreadcrumbList, FAQPage, ListItem, Organization, Question, Service";"Leistungsintention B2B";"Besichtigung anfragen";"";"Canonical zeigt auf redirectenden Apex-Host"
"https://www.ahad-cleaning.de/leistungen/winterdienst-hausmeisterservice";"Leistungsdetail";"200";"https://www.ahad-cleaning.de/leistungen/winterdienst-hausmeisterservice";"200 https://www.ahad-cleaning.de/leistungen/winterdienst-hausmeisterservice";"https://ahad-cleaning.de/leistungen/winterdienst-hausmeisterservice";"indexierbar";"Winterdienst & Hausmeisterservice für Gewerbe | AHAD Cleaning";"Zuverlässiger Winterdienst mit Einsatzdokumentation und professioneller Hausmeisterservice für Gewerbeobjekte in Süddeutschland. Verkehrssicherungspflicht erfüllt.";"Winterdienst und Hausmeisterservice aus einer Hand";"279";"28";"Answer, BreadcrumbList, FAQPage, ListItem, Organization, Question, Service";"Leistungsintention B2B";"Besichtigung anfragen";"";"Canonical zeigt auf redirectenden Apex-Host"
"https://www.ahad-cleaning.de/leistungen/kuechenabluftreinigung-vdi-2052";"Leistungsdetail";"200";"https://www.ahad-cleaning.de/leistungen/kuechenabluftreinigung-vdi-2052";"200 https://www.ahad-cleaning.de/leistungen/kuechenabluftreinigung-vdi-2052";"https://ahad-cleaning.de/leistungen/kuechenabluftreinigung-vdi-2052";"indexierbar";"Küchenabluftreinigung nach VDI 2052 | AHAD Cleaning";"Professionelle Küchenabluftreinigung nach VDI 2052 für Gastronomie, Hotellerie, Kantinen und Großküchen in Süddeutschland. Brandschutzkonform, hygienisch, mit prüffähigem Nachweis.";"Küchenabluftreinigung nach VDI 2052 — prüffähig dokumentiert";"318";"28";"Answer, BreadcrumbList, FAQPage, ListItem, Organization, Question, Service";"Leistungsintention B2B";"Besichtigung anfragen";"";"Canonical zeigt auf redirectenden Apex-Host"
